episode,winrate
9,0.0
19,0.0
29,0.0
39,0.0
49,0.0
59,0.0
69,0.1
79,0.0
89,0.1
99,0.1
109,0.0
119,0.1
129,0.0
139,0.1
139,0.1
149,0.0
159,0.2
169,0.1
179,0.3
189,0.0
199,0.7
199,0.8
199,0.8
199,0.8
199,0.8
209,0.0
219,0.0
229,0.8
229,0.8
229,0.8
239,0.7
249,0.2
249,0.3
249,0.4
249,0.5
249,0.6
249,0.7
249,0.8
249,0.9
249,0.8
259,0.6
269,0.0
279,0.5
289,0.8
289,0.8
289,0.8
289,0.8
289,0.8
289,0.8
289,0.8
289,0.9
289,0.9
289,0.9
289,1.0
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,0.9
299,1.0
309,0.9
309,0.9
319,0.8
319,0.8
319,0.8
319,0.8
319,0.8
319,0.8
319,0.8
319,0.9
319,0.9
319,0.9
319,1.0
329,0.6
339,0.7
339,0.7
339,0.8
339,0.8
339,0.7
349,0.5
349,0.5
359,0.8
359,0.8
359,0.8
359,0.9
359,0.9
369,0.7
369,0.7
369,0.7
369,0.7
369,0.7
369,0.7
369,0.8
369,0.9
369,0.9
369,0.9
369,1.0
379,0.6
379,0.6
379,0.7
379,0.7
379,0.7
379,0.7
379,0.8
379,0.9
379,0.9
379,0.9
379,1.0
389,0.2
399,0.0
409,0.6
419,0.6
429,0.7
429,0.7
429,0.8
429,0.8
429,0.8
429,0.8
439,0.1
449,0.5
449,0.5
459,0.4
469,0.6
469,0.7
469,0.8
469,0.7
479,0.3
489,0.7
489,0.7
499,0.6
499,0.6
499,0.6
499,0.6
499,0.7
499,0.8
499,0.8
499,0.9
499,0.9
499,0.8
509,0.8
509,0.8
519,0.8
519,0.8
529,0.6
529,0.7
529,0.8
529,0.8
529,0.8
529,0.8
539,0.4
539,0.5
549,0.8
549,0.7
559,0.7
559,0.7
559,0.7
559,0.7
559,0.7
559,0.8
559,0.8
559,0.8
569,0.8
569,0.8
569,0.8
569,0.8
579,0.8
579,0.8
579,0.8
579,0.8
579,0.8
579,0.7
589,0.7
599,0.4
609,0.6
609,0.7
609,0.6
619,0.7
629,0.7
629,0.6
639,0.8
639,0.8
649,0.7
659,0.7
669,0.6
669,0.6
669,0.7
669,0.8
669,0.8
669,0.7
679,0.5
679,0.6
689,0.4
689,0.4
689,0.4
699,0.4
699,0.5
709,0.6
719,0.8
729,0.1
729,0.2
739,0.7
749,0.6
759,0.7
769,0.8
779,0.8
779,0.8
779,0.8
779,0.8
779,0.8
779,0.9
779,0.9
779,0.9
779,0.9
779,0.9
779,1.0
789,0.2
799,0.6
799,0.5
809,0.5
809,0.6
809,0.5
819,0.6
829,0.8
829,0.8
839,0.7
839,0.8
839,0.8
839,0.8
839,0.8
839,0.7
849,0.7
849,0.7
849,0.8
849,0.7
859,0.3
869,0.5
869,0.5
879,0.7
879,0.7
889,0.0
899,0.0
909,0.2
909,0.2
919,0.7
919,0.7
919,0.6
929,0.8
929,0.8
929,0.8
929,0.8
929,0.8
929,0.8
929,0.8
929,0.9
929,0.9
929,0.9
929,1.0
939,0.8
939,0.8
939,0.8
939,0.8
939,0.8
939,0.8
939,0.9
939,0.9
939,0.9
939,0.9
939,1.0
949,0.6
959,0.7
959,0.7
959,0.7
959,0.7
959,0.7
959,0.7
959,0.8
959,0.9
959,0.8
969,0.9
969,0.9
969,0.9
969,0.9
969,0.9
969,0.9
969,0.9
969,0.9
969,0.9
969,0.8
979,0.9
979,0.9
979,0.9
979,0.9
979,0.9
979,0.9
979,0.9
979,0.8
989,0.8
989,0.8
989,0.8
989,0.8
989,0.8
989,0.8
989,0.8
989,0.9
989,0.9
989,0.8
999,0.7
999,0.7
999,0.7
999,0.7
999,0.7
999,0.6
